average daily cases day 1,average daily cases day 2,average daily cases day 3,average daily cases day 4,average daily cases day 5,average daily cases day 6,average daily cases day 7,average daily cases day 8,average daily cases day 9,average daily cases day 10,average daily cases day 11,average daily cases day 12,average daily cases day 13,average daily cases day 14,average daily cases day 15,average daily cases day 16,average daily cases day 17,average daily cases day 18,average daily cases day 19,average daily cases day 20,average daily cases day 21,average daily cases day 22,average daily cases day 23,average daily cases day 24,average daily cases day 25,average daily cases day 26,average daily cases day 27,average daily cases day 28,average daily cases day 29,average daily cases day 30,average daily cases day 31,average daily cases day 32,average daily cases day 33,average daily cases day 34,average daily cases day 35,average daily cases day 36,average daily cases day 37,average daily cases day 38,average daily cases day 39,average daily cases day 40,average daily cases day 41,average daily cases day 42,average daily cases day 43,average daily cases day 44,average daily cases day 45,average daily cases day 46,average daily cases day 47,average daily cases day 48,average daily cases day 49,average daily cases day 50,sum,N,I,P,T,runNumb,uniform
12.18,20.647,49.834,115.697,242.192,417.267,547.084,533.186,406.369,258.271,151.243,86.108,48.99,28.788,16.584,9.351,5.288,3.054,1.811,1.109,0.758,0.524,0.55,0.592,0.747,0.927,1.165,1.533,1.892,2.627,3.265,4.177,5.218,6.334,7.407,8.573,9.696,10.694,11.023,11.158,10.803,10.654,9.879,9.101,8.353,7.345,6.546,5.816,5.108,4.579,3122.097,5000,4,0,50,1000,true
12.505,20.657,49.394,115.539,240.47,413.076,543.996,534.864,407.078,258.436,150.533,85.626,49.458,28.475,16.356,9.04,5.192,2.955,1.763,1.055,0.693,0.572,0.493,0.568,0.726,0.89,1.065,1.427,1.813,2.303,2.998,3.809,4.64,5.87,6.96,8.124,8.957,9.761,10.639,11.042,10.912,10.517,10.043,9.559,8.64,7.763,6.798,6.155,5.423,4.772,3110.4,5000,4,500,50,1000,true
12.328,20.21,49.266,114.305,238.779,411.687,544.424,534.455,403.085,256.622,150.065,84.929,48.871,28.558,16.177,9.195,5.157,3.092,1.823,1.106,0.744,0.575,0.529,0.572,0.742,0.973,1.107,1.456,1.875,2.392,3.055,3.825,4.798,5.872,7.143,8.056,9.112,10.031,10.564,10.944,11.132,10.756,10.45,9.721,8.775,7.945,7.238,6.533,5.789,5.009,3101.847,5000,4,1000,50,1000,true
12.132,20.134,48.595,113.208,235.778,406.342,538.697,531.113,403.991,258.007,149.698,85.559,49.456,28.895,16.806,9.573,5.386,3.118,1.887,1.099,0.794,0.559,0.516,0.609,0.672,0.849,1.082,1.443,1.713,2.244,2.914,3.674,4.559,5.682,6.616,7.688,8.752,9.564,10.131,10.816,10.877,10.82,10.334,10.011,9.146,8.411,7.735,6.992,6.245,5.465,3086.387,5000,4,1500,50,1000,true
12.307,20.483,49.052,114.537,238.533,409.347,538.705,527.19,396.332,249.944,146.549,84.369,49.653,29.264,16.764,9.465,5.444,3.077,1.832,1.13,0.761,0.634,0.599,0.598,0.71,0.865,1.03,1.425,1.723,2.172,2.718,3.551,4.286,5.406,6.241,7.414,8.407,9.318,10.212,10.659,10.831,10.683,10.609,10.032,9.598,8.807,8.113,7.217,6.647,5.662,3070.905,5000,4,2000,50,1000,true
12.217,20.368,48.938,114.269,237.037,405.803,533.892,522.043,393.208,247.42,145.069,85.504,50.136,29.664,16.847,9.508,5.597,3.241,1.934,1.179,0.786,0.623,0.59,0.654,0.786,0.95,1.15,1.453,1.83,2.264,2.807,3.581,4.306,5.34,6.361,7.387,8.299,9.279,10.186,10.713,10.832,10.891,10.726,10.409,9.665,9.083,8.472,7.506,6.957,6.012,3053.772,5000,4,2500,50,1000,true
12.349,20.31,49.27,114.598,236.844,406.933,532.476,517.556,384.853,242.002,143.823,85.075,51.081,29.74,16.951,9.794,5.793,3.326,1.93,1.175,0.83,0.683,0.6,0.629,0.805,0.91,1.167,1.479,1.864,2.292,2.817,3.472,4.298,5.288,6.066,7.228,8.144,8.858,9.715,10.452,10.598,10.82,10.84,10.517,9.895,9.445,8.651,8.116,7.215,6.479,3036.052,5000,4,3000,50,1000,true
12.476,20.476,49.854,115.074,237.491,401.554,526.711,509.85,377.167,236.736,142.256,85.896,51.654,30.411,17.683,10.267,5.951,3.495,2.099,1.329,0.88,0.702,0.697,0.739,0.856,1.011,1.301,1.521,1.989,2.416,2.851,3.477,4.312,5.269,6.105,7.054,7.91,9.074,9.796,10.278,10.794,11.008,10.838,10.726,10.165,9.426,8.97,8.177,7.585,6.753,3011.11,5000,4,3500,50,1000,true
12.423,20.114,48.681,114.079,235.312,398.934,522,503.283,372.729,233.781,142.588,86.852,52.344,30.895,17.86,10.537,6.087,3.585,2.117,1.322,0.923,0.751,0.763,0.797,0.841,0.935,1.131,1.4,1.701,2.085,2.674,3.189,3.904,4.635,5.543,6.392,7.261,8.248,8.862,9.863,10.289,10.769,10.99,10.983,10.517,10.221,9.487,8.835,8.291,7.325,2985.128,5000,4,4000,50,1000,true
12.346,20.472,49.387,115.934,237.418,400.117,520.653,496.226,363.833,228.112,138.588,85.868,51.81,30.65,17.78,10.289,5.954,3.519,2.121,1.33,0.967,0.781,0.73,0.783,0.893,0.962,1.207,1.349,1.678,2.091,2.467,3.065,3.659,4.236,4.999,5.841,6.75,7.7,8.159,9.132,9.641,10.156,10.517,10.44,10.489,10.135,9.673,9.068,8.524,7.749,2956.248,5000,4,4500,50,1000,true
12.473,20.14,48.42,113.095,232.315,390.458,511.462,492.711,359.749,228.255,141.743,88.261,52.887,31.218,18.109,10.554,6.384,3.877,2.267,1.465,1.04,0.786,0.783,0.872,0.941,1.007,1.173,1.423,1.736,2.151,2.455,2.985,3.562,4.113,4.915,5.575,6.161,7.08,7.836,8.509,8.966,9.76,9.796,10.028,10.144,9.759,9.69,9.079,8.495,7.753,2924.416,5000,4,5000,50,1000,true
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.493,33.097,98.177,244.373,449.664,567.602,514.632,373.185,242.691,149.02,89.061,51.817,29.816,17.466,9.907,5.787,3.27,1.97,1.199,0.768,0.617,0.515,0.685,0.812,1.082,1.391,1.693,2.147,2.841,3.524,4.508,5.772,6.883,8.404,9.599,10.781,11.608,12.369,12.559,12.554,12.242,11.61,10.98,9.979,8.912,7.986,7.032,6.074,5.363,4.718,3093.235,5000,4,0,50,1000,false
