average daily cases day 1,average daily cases day 2,average daily cases day 3,average daily cases day 4,average daily cases day 5,average daily cases day 6,average daily cases day 7,average daily cases day 8,average daily cases day 9,average daily cases day 10,average daily cases day 11,average daily cases day 12,average daily cases day 13,average daily cases day 14,average daily cases day 15,average daily cases day 16,average daily cases day 17,average daily cases day 18,average daily cases day 19,average daily cases day 20,average daily cases day 21,average daily cases day 22,average daily cases day 23,average daily cases day 24,average daily cases day 25,average daily cases day 26,average daily cases day 27,average daily cases day 28,average daily cases day 29,average daily cases day 30,average daily cases day 31,average daily cases day 32,average daily cases day 33,average daily cases day 34,average daily cases day 35,average daily cases day 36,average daily cases day 37,average daily cases day 38,average daily cases day 39,average daily cases day 40,average daily cases day 41,average daily cases day 42,average daily cases day 43,average daily cases day 44,average daily cases day 45,average daily cases day 46,average daily cases day 47,average daily cases day 48,average daily cases day 49,average daily cases day 50,sum,N,I,P,T,runNumb,uniform
11.6,20.9,52.5,125.2,290.7,598.8,979.3,1163,1021.8,701.4,402.7,229.4,128.6,74.2,41.6,24.6,14.5,6.7,5.2,2.7,2,1.6,1.8,0.8,1.1,1.7,1.7,2,3.4,3.8,6.5,6.1,7.7,11.9,12.8,15.7,17.6,18.3,22.2,25.4,23.3,21.3,21.3,23.2,18.6,17,15.2,13.7,9.2,8.9,6231.2,10000,4,0,50,10,true
13.8,25.5,63.3,154.1,335.4,634.7,974.3,1122.4,961.1,668.8,395.8,229.9,126.1,70.9,45.3,23.5,14.9,6.9,4.9,3.2,1.7,0.6,0.8,0.7,0.9,0.9,1.3,2.2,2.8,2.8,4.7,6.7,8.9,9.8,14.7,15.4,17.6,18.8,21.4,24.9,25.8,24.3,22.8,21.6,17.4,18.5,14.9,12.7,13,10.4,6213.8,10000,4,1000,50,10,true
14.1,17.4,51.1,119,290.8,588.3,989.3,1163.2,1016.8,676.7,416.8,231.7,135.2,74.1,49,24.4,12.4,8.5,5,2.6,2.1,1.9,0.6,0.7,1.1,1.4,1.9,2.8,3.3,3.8,4,6.4,8.7,11.2,11.2,14.9,17.7,20.5,20.6,23.5,23.2,23.8,23.3,22.7,19,16.3,15.9,12.1,10.8,11.8,6223.6,10000,4,2000,50,10,true
9.8,20.1,43.4,111.7,260,548.7,892.4,1114.4,1028.6,760,450.9,251.3,152,84,49,28.6,16.4,9.5,5.3,2.6,2.1,0.9,1,0.8,1.3,1.1,0.8,2.2,2.9,2.8,3.4,4.8,6.9,8.1,10.6,12.4,15.3,20.4,22.4,21.6,21.9,24.1,22.8,21.8,19.3,19.4,16.1,14.2,14.1,11.8,6166,10000,4,3000,50,10,true
11.9,16.8,46.8,114.1,258.4,521.2,839.6,995.6,950,751.3,511,328.9,195.9,108.8,61.5,31.1,18.9,11.8,5,4,2.4,1.6,1.1,0.8,1,0.9,1.8,1,1.2,2,3.6,4.9,4.9,7.1,9.9,12.1,14.8,14.8,17.8,20.9,24.3,22.9,24.1,20.5,27,24.2,19.2,18.8,17.5,13.4,6119.1,10000,4,4000,50,10,true
10.8,17.5,50.7,123.5,279.8,580.9,980,1154.2,1011.2,676,382.5,226,129.8,74,38.2,24.8,12.6,7.2,4.2,2.1,1.4,1,0.8,0.6,1.3,1,2.1,2,2.6,3,4.5,6.2,6.2,9,11.2,12.9,16,16.9,20,22.1,25,22.8,24.8,25.7,23.2,20.2,21,15.7,15.6,11.1,6131.9,10000,4,5000,50,10,true
11.5,20.2,49.1,121.1,278.4,573.6,916,1127.7,1002.4,695.1,414.7,235.6,138,80.7,48.5,26.6,16,8.3,5.1,2.5,1.6,1.5,0.9,1,1.4,2.2,2.2,2.4,2.6,4.5,5.6,5.7,8.8,10.8,13.8,16,17.1,19.3,18.9,23,22.7,23.1,24.8,26.6,23.1,21,18.2,17.2,16.7,15.2,6139,10000,4,6000,50,10,true
11.9,20.3,53.3,122.9,280,570.1,865.1,1022.2,945.3,709.1,456.3,274.8,156.7,92.3,57.6,31.7,17,10.1,5.1,2.2,1.9,2.1,1.3,1.9,1.9,1.2,1.7,2.6,2.9,4.3,4.5,5.2,6.3,6.9,11.1,12.2,16,18.1,16,21,22.4,24.5,25.1,26.1,21.7,22,24.3,22.5,17.7,16.3,6065.7,10000,4,7000,50,10,true
10.8,21.9,54.7,136.8,314.5,587.5,918.6,1081.4,940.4,620.6,385.8,235.2,140.4,84,51.2,29.9,16.5,7.8,6.3,2.6,1.3,1.6,0.6,1,1.4,0.5,1.9,1.3,1.9,2.5,3.5,3.7,4.9,5.8,6.9,8.5,10.4,12.9,15.4,17.5,19,23.3,21.7,24.7,21.7,21.3,20,20.7,15.9,17.5,5956.2,10000,4,8000,50,10,true
12.2,22.9,57.7,143.8,311.1,585.4,881.4,1031.8,890.5,614.6,407.7,243.6,155.2,87.5,55,32.1,17.8,10.5,6.1,3.4,2.4,2.5,1.9,1.4,2,1.7,3.7,2.9,3.8,4,5.7,5.2,7.7,9.2,9.9,11.3,13,16.9,18.7,20.3,21.9,23.6,26.7,24.2,22.1,23.1,23.5,20.9,18.9,16.7,5936.1,10000,4,9000,50,10,true
11.2,20.6,49.6,130.4,307.4,604.4,931.1,1085.7,912,595.9,354.4,227.1,141.1,81.1,44.7,29.4,15.4,8,6.3,3,3,2.5,1.9,1.9,1.1,1.3,1.1,2.3,3.2,4.1,4.4,5.8,7.5,8,8.7,10.2,13.7,13.9,16.3,18.4,22.6,22.7,29.4,26.1,27.4,27.5,27.5,22.1,20.3,22.2,5935.9,10000,4,10000,50,10,true
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23.1,78.1,220.9,541.6,940.4,1132.8,1002.9,710.5,459.5,270.7,163.2,93.9,56.4,32.1,20.2,9.5,5.8,4.5,2.4,0.9,1.4,1.2,0.6,1.1,1.7,2.2,2.8,3.8,5.7,6.4,10.5,11.8,12.3,17.5,19.6,20.5,27,23.1,25.6,26.8,25.1,22,24.5,22.1,18.4,18.2,14.4,13,12.4,6173.1,10000,4,0,50,10,false
15.7,32.4,110.5,315.4,733.1,1143.7,1175.1,881.3,558.5,347.1,196.7,123.4,65.5,37,21.3,14.2,8,4.6,1.9,2.1,1.5,1.2,1.3,1.6,1.9,2.2,3.2,4.1,4.8,5.4,7.5,11,12.9,16.2,19.4,22.7,19.9,27,26.4,26.6,24.8,22.9,24.9,19.4,19.3,18.7,13,12.9,9.8,9.6,6179.6,10000,4,1000,50,10,false
13.7,32.7,96.1,264.1,637.4,1065.4,1150.4,921.5,636.7,389.7,233.9,133.1,79.8,43,25.2,15.2,8,5.2,3.5,2.8,1.3,0.4,1,1.5,2,2,2.1,3.3,4.5,6.1,7.4,10.2,10.6,14.1,17.2,20.6,22.2,21.6,25,23.8,24.6,26,22.5,22.7,19.7,18.6,17.1,15.5,12.3,12,6145.3,10000,4,2000,50,10,false
15.7,37.9,116.6,327.1,700.4,1043.4,1105.3,882.9,599.5,371.5,223.3,121.8,77.2,41.9,24.5,13.2,8.7,3.9,2.9,1.7,1.5,1.4,0.6,1,1.3,2.2,2.3,3.2,4.2,4.8,6.8,7.7,9.5,11.4,14.9,16.5,20,22.2,24.9,26.8,23.8,25.8,26.2,22.9,22.2,20.5,15.8,20.2,13.9,12.5,6106.4,10000,4,3000,50,10,false
17.7,44.6,136.4,342.1,694.8,1018.1,1071.1,869.4,586.9,369.9,218,131,77.3,45,23.4,15.3,8.6,6.5,2.3,1.4,1.6,1.3,1.4,1.3,1.3,2,2.2,2.7,5,7,6.4,9.5,11.4,13.9,15.1,19.1,19.3,22.3,24.9,25.6,22.6,26.1,25.6,22.2,23,19.3,20.6,16.2,16.6,13,6078.3,10000,4,4000,50,10,false
13.3,30.9,104.8,298.3,647.4,1046.5,1151.2,909.4,594.6,359.2,210.4,125.6,73.1,42.1,26.5,14.5,9.3,4.5,3.6,1.9,2.1,1.4,1.5,1.1,1.2,1.8,2,3.3,3.5,6.7,6.4,8.7,11.7,11.7,12.2,18.5,18.9,20.1,25,26.6,25.3,29,23.7,24.5,22.4,23.6,22.2,16.4,14.1,12.7,6065.4,10000,4,5000,50,10,false
15.6,33.1,100.6,289.7,675,1016.7,1114.8,897.2,588.9,362.2,217.1,126.1,74.2,42.7,25.2,14.6,7.3,4.9,2.4,1.8,1.5,1.2,1.2,1,1.4,1.3,1.7,2.4,4.1,4.1,5.7,6.1,7.5,9.5,10.7,11.3,17.2,20.3,23.4,24.1,25.9,27,26.3,22.7,23.7,23.8,23.4,21.7,20.1,13.9,5994.3,10000,4,6000,50,10,false
11.9,24.2,78.4,205.4,530.5,946.5,1131.3,991.6,673.7,413.2,240.1,147.4,88.5,50.3,27,15.2,11.2,4.9,4,1.2,2.5,1.1,1.7,1.9,2.1,2.5,1.9,4,4.2,5.9,4.8,7.7,9.2,9.6,13.9,14.5,17.1,19.6,21.5,21.7,24.9,25.9,25.5,25.7,22.8,22.6,21.7,21.7,19.2,15.5,5989.4,10000,4,7000,50,10,false
17.4,36.2,123.7,312.9,686.5,1029.4,1081.9,861.1,558.9,321.6,195.6,117,68.7,40.4,20.5,13,9.4,4.8,3,2.1,0.8,1.3,1.9,1.6,2.1,2.6,4.5,4.2,4.9,5.2,5.7,8.1,8.4,10.2,13.7,15.8,17.1,21.3,23.4,26,27.3,28.1,27,29.1,24.1,24.1,25.9,21.3,20.1,17.1,5927,10000,4,8000,50,10,false
12.2,24,84,242.1,570.7,972,1128.8,915.2,611.7,360.5,223.3,132.6,76.1,41.6,26,15.4,10.1,5.6,3.3,2,2.1,1,0.8,1.1,1.3,1.5,1.6,2.1,3.6,2.8,3.3,3.9,5.6,5.3,7.1,8.8,9,10.9,14.3,17.8,17.6,20,25.6,21.1,23.9,27.8,25.5,23.1,23,20,5788.7,10000,4,9000,50,10,false
14,30.6,97.6,265.4,609.9,970,1111.4,895.6,582.8,354.8,213.4,127.7,74.3,41.3,22.8,13.6,8.8,4.5,2.9,0.9,0.9,1.1,0.7,0.3,1.2,0.9,0.8,1.3,1.1,1.1,1.9,2.4,2.2,2.8,5.1,4.7,7.4,7.4,7.7,8.9,11.5,11.1,12,13.9,16.1,16.1,16.9,18.7,18.9,19.4,5656.8,10000,4,10000,50,10,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3,18.8,50.8,115.3,281.2,636.8,1191.8,1832.3,2163.8,1953.7,1422.3,889.3,526.2,284.7,174.8,102.2,56.8,33.2,19.3,13.1,8.1,4.4,3.6,1.7,2.9,3.4,4.5,5.5,6.8,9,10.2,13.1,17.8,22.4,26.8,32.3,36.6,39.6,47.6,49.8,47.3,43.4,48.7,42.5,40.7,34.5,28.4,27.4,22.9,19.7,12479.3,20000,4,0,50,10,true
9.8,17.3,46.1,116.9,288.8,662.4,1334.3,2047,2354,1946.3,1276.1,739.4,421.8,236.2,136.8,82.5,44.1,28,14.1,9.9,6.3,2.4,2.3,1.7,2.1,2.9,4.4,3.6,6.1,7.8,9.2,10.5,13.9,19.6,24.5,29.3,38.1,38.7,42.7,45.5,44.8,52.9,48.6,44.8,39.4,34.3,28.4,26.3,22.9,20.1,12485.9,20000,4,2000,50,10,true
13.5,23.3,55,142.8,338.7,721.2,1409.8,2086.5,2285.7,1835.5,1215.4,711.8,397.6,217.1,129.5,76.1,44.2,22.7,14.4,9.8,5,4,2.3,1.9,2.4,3.4,3.4,4,4.9,7.2,8.7,10.7,15.9,18.4,24.3,27.1,33.8,41,42.6,49.2,50.6,50.6,50.9,44.9,41.1,35.5,35,28,26.6,19.4,12443.4,20000,4,4000,50,10,true
