average daily cases day 1,average daily cases day 2,average daily cases day 3,average daily cases day 4,average daily cases day 5,average daily cases day 6,average daily cases day 7,average daily cases day 8,average daily cases day 9,average daily cases day 10,average daily cases day 11,average daily cases day 12,average daily cases day 13,average daily cases day 14,average daily cases day 15,average daily cases day 16,average daily cases day 17,average daily cases day 18,average daily cases day 19,average daily cases day 20,average daily cases day 21,average daily cases day 22,average daily cases day 23,average daily cases day 24,average daily cases day 25,average daily cases day 26,average daily cases day 27,average daily cases day 28,average daily cases day 29,average daily cases day 30,average daily cases day 31,average daily cases day 32,average daily cases day 33,average daily cases day 34,average daily cases day 35,average daily cases day 36,average daily cases day 37,average daily cases day 38,average daily cases day 39,average daily cases day 40,average daily cases day 41,average daily cases day 42,average daily cases day 43,average daily cases day 44,average daily cases day 45,average daily cases day 46,average daily cases day 47,average daily cases day 48,average daily cases day 49,average daily cases day 50,sum,N,I,P,T,runNumb,uniform
10.397,13.074,28.263,57.785,115.646,208.515,329.454,434.65,460.372,400.484,295.783,196.262,122.392,75.933,46.714,28.946,17.72,10.667,6.555,4.074,2.665,1.836,1.513,1.329,1.438,1.619,2.047,2.463,3.127,3.972,5.102,6.147,7.625,8.881,10.558,11.92,13.16,13.99,14.249,14.025,13.564,12.802,11.996,10.751,9.597,8.304,7.425,6.462,5.536,4.899,3082.688,5000,4,0,50,1000,true
10.197,13.017,27.762,57.928,114.343,207.864,326.434,430.653,459.366,401.513,297.302,196.545,123.666,76.045,47.024,28.676,17.235,10.657,6.255,3.989,2.624,1.842,1.442,1.258,1.358,1.602,1.96,2.362,2.956,3.753,4.67,5.667,6.93,8.435,10.101,11.689,12.603,13.411,13.993,14.176,13.902,13.324,12.303,11.168,10.073,8.937,7.858,6.941,6.057,5.24,3075.106,5000,4,500,50,1000,true
10.251,13.087,26.883,56.779,112.649,204.013,322.052,428.267,458.46,400.047,296.384,196.674,122.739,75.99,47.018,28.761,17.455,10.618,6.435,4.068,2.639,1.793,1.388,1.332,1.361,1.573,1.949,2.332,2.927,3.679,4.491,5.619,6.875,8.302,9.61,11.329,12.517,13.779,14.334,14.366,14.072,13.66,12.617,11.785,10.719,9.62,8.468,7.478,6.468,5.798,3061.51,5000,4,1000,50,1000,true
10.222,13.316,28.051,57.561,115.501,207.129,324.731,426.028,453.424,393.22,289.179,192.252,121.303,75.402,46.598,28.881,17.453,10.44,6.389,4.041,2.67,1.806,1.46,1.386,1.458,1.638,1.918,2.364,2.984,3.516,4.449,5.605,6.665,7.976,9.462,10.913,12.246,13.254,14.298,14.486,14.427,14.008,13.345,12.03,11.272,9.958,8.922,7.884,6.936,6.192,3046.649,5000,4,1500,50,1000,true
10.323,13.203,28.389,58.919,115.046,206.199,323.167,423.027,447.458,385.943,284.884,189.699,120.648,75.762,47.425,29.603,18.101,11.069,6.853,4.31,2.79,1.95,1.604,1.419,1.562,1.774,2.165,2.541,3.114,3.739,4.692,5.837,7.051,8.474,9.855,11.274,12.702,13.382,14.189,14.761,14.433,14.128,13.364,12.583,11.478,10.364,9.276,8.288,7.351,6.369,3032.537,5000,4,2000,50,1000,true
10.501,13.511,28.154,58.763,114.943,205.792,323.499,421.9,443.236,380.518,277.487,185.459,119.562,75.823,48.132,29.513,18.251,11.413,7.074,4.403,2.926,2.044,1.656,1.539,1.597,1.808,2.141,2.448,3.077,3.737,4.596,5.687,6.79,8.098,9.538,11.243,12.31,13.37,14.218,14.837,15.028,14.701,13.943,13.087,12.251,11.19,9.933,8.858,7.879,6.822,3015.286,5000,4,2500,50,1000,true
10.247,13.054,27.877,57.882,113.846,203.19,318.388,415.35,438.894,376.752,275.17,184.264,120.087,76.993,48.633,30.424,18.882,11.665,7.188,4.531,3.085,2.135,1.758,1.595,1.63,1.795,2.191,2.529,2.973,3.742,4.585,5.617,6.73,8.18,9.598,10.845,12.482,13.361,14.335,15.035,15.132,15.026,14.41,13.67,12.938,11.597,10.706,9.412,8.112,7.304,2995.825,5000,4,3000,50,1000,true
10.18,12.807,27.368,56.955,111.372,197.149,308.175,404.139,427.932,370.261,274.276,187.399,123.418,80.836,51.285,32.12,20.436,12.612,8.126,5.003,3.258,2.373,1.988,1.798,1.809,2.016,2.289,2.726,3.196,3.919,4.812,5.679,7.073,8.32,9.54,11.109,12.256,13.648,14.264,14.937,15.49,15.3,14.845,14.103,13.272,12.218,10.933,9.909,8.809,7.694,2971.432,5000,4,3500,50,1000,true
10.446,13.366,28.077,58.538,113.579,199.624,310.086,401.762,420.838,360.061,265.701,181.923,122.625,79.757,51.424,32.214,20.566,12.911,8.098,5.182,3.459,2.479,2.047,1.851,1.954,2.091,2.372,2.68,3.223,3.948,4.681,5.561,6.699,7.969,9.525,10.824,12.051,13.244,14.36,15.174,15.4,15.249,15.326,14.685,13.748,12.782,11.683,10.37,9.358,8.071,2949.642,5000,4,4000,50,1000,true
10.4,13.377,28.465,57.76,111.495,194.939,302.86,391.583,409.462,353.275,264.381,182.648,123.616,82.09,52.825,33.695,20.94,13.578,8.435,5.469,3.633,2.703,2.243,2.062,2.004,2.166,2.432,2.797,3.342,4.065,4.606,5.796,6.691,7.806,9.426,10.653,12.026,12.97,13.934,14.706,15.396,15.5,15.351,14.845,14.269,13.424,12.15,10.955,9.685,8.733,2917.662,5000,4,4500,50,1000,true
